Date;DPM;APM;SR
45952;107.2;71.6;11077
45952;98.9;61.1;10316
45950;111.1;89.9;13705
45950;109.4;77.9;12490
45950;113.2;103.5;13724
45950;109.2;88.9;12471
45950;118.4;88.5;13803
45950;112.1;82.9;13724
45950;120.5;86.2;13848
45950;110.6;87.2;13586
45950;123.2;101.3;13890
45950;105.4;89.1;13544
45950;99.5;70.6;13544
45950;118.3;89.1;12471
45950;112.7;87.2;13566
45950;112.4;70;12449
45950;113.5;93.8;13393
45950;108;91.2;13566
45949;57.8;22.5;4270
45949;57.3;28.4;4764
45949;56.2;23.9;4234
45949;60;29.7;4800
45949;53.2;29.8;4963
45949;58.6;27.3;4275
45949;51.7;24.3;4885
45949;55.1;25.1;4343
