DPM;APM;SR
51.2;15.8;1944
53.9;10.5;1944
49;7.7;1944
32;8.2;1975
29.8;7.9;1998
39.9;5;2121
32.1;9.3;2176
30.5;6.8;2176
37.2;5.6;2437
44.6;13.8;2437
46.4;13.9;2531
38.1;17.2;2531
43.6;14.4;2653
53.6;16.6;2675
43.1;23.5;2675
44.1;16.3;2784
45.5;6.2;2784
44.8;17.2;2784
36;10.7;2802
50;5.8;2867
46.6;16.4;2867
43.1;5.2;2946
43.3;4.4;2979
41.5;13.6;3210
38.1;11.1;3210
41.4;17.8;3271
40.6;13.8;3272
42.2;17.8;3313
49.2;10.8;3353
40.3;17.5;3353
34.7;9.9;3376
42.1;8.1;3387
42.7;11;3387
40.2;7.8;3387
78.7;30.8;3472
82.1;22;3510
76.1;27.7;3510
48.8;14.1;3557
47.9;11.3;3557
47.6;8.9;3573
47.2;5.5;3573
46.9;16.9;3595
48.5;14.7;3605
45.7;12.2;3605
48.3;6.8;3606
44.1;9.8;3607
43.8;11.5;3618
46.5;15.6;3618
50.3;18.4;3618
45.4;16.5;3636
48.9;18.9;3636
46.6;13;3650
46.7;14.5;3803
45.1;18.1;3848
62.5;12.9;3853
48.6;15.9;3872
51.4;21.2;3901
51.3;17.4;4057
49.8;17.9;4098
51;23.3;4321
51.2;24.2;4321
36.5;18;4357
52.4;19.2;4379
58.1;28.8;4379
54.5;28.3;4420
64.2;28.7;4420
50.7;23.6;4445
53.6;19;4445
50.1;30.6;4456
47.1;27.5;4456
52.9;28.3;4470
42.1;18.3;4535
52.4;31.1;4540
60.8;28.4;4695
39.4;15.2;4750
58.8;25.2;4775
98.4;39.6;4864
107.9;27.6;4882
61.3;24.6;4924
63.9;27;4958
57;25.9;4958
63.7;23;4979
66.4;32.2;4979
56.3;31;5500
53;28.6;5534
60.1;29.8;5670
66.1;26;5670
63.5;28.1;5708
59.6;34.6;5769
54.4;26.4;5774
46.2;24.8;5779
57.2;29.3;5784
51;25;5787
59.4;37.8;5830
67.7;35.1;5876
60.9;37.3;5876
62.4;17.2;5880
68.1;32.6;5914
54.7;20.5;5961
55.8;38.7;6133
58.9;38.6;6133
52.6;37.5;6135
53.7;34.8;6166
56.6;32.1;6166
55.8;42.1;6169
58.1;37.4;6190
51.3;27.6;6194
59.2;28.9;6196
55.6;36.2;6196
64.1;43.1;6214
51.3;29.6;6225
53.6;33.3;6225
51;34.6;6225
55;43.2;6241
52.5;43.4;6261
54.4;46;6261
54.1;30.8;6261
75.7;32.4;6267
82;38.8;6322
78.2;47.1;6458
73;31.2;6492
69.5;33.3;6558
69.2;41;6621
70;40.5;6661
64.7;39.6;6682
60.9;35.2;6725
79.5;34.9;6746
79.2;38.7;6746
86.6;49;6746
83.8;42.3;6850
71.3;32.6;6893
75.4;47.7;6916
59.9;37.8;6917
72.3;26.9;6940
58.8;38.5;7215
67.4;46.9;7215
58.2;58.9;7247
58.8;31.5;7247
77.1;18;7307
69.3;44.8;7344
59.5;35.3;7432
82.9;42.8;7606
77.7;50.1;7625
84.2;48.2;7633
86.3;47.4;7636
81.8;42.3;7672
75.3;49.8;7747
