Date;DPM;APM;SR
45894;74.7;43.4;8261
45894;77.2;44.6;8499
45894;63.9;44.3;8114
45894;81.5;48.2;8305
45894;64.3;40.1;8810
45894;74.9;45.9;8305
45894;69.8;49.8;8810
45894;120.9;110.6;16134
45894;130.6;98.3;13060
45894;113.5;93.7;13834
45894;145.5;127.5;17314
45894;133.6;107.5;14294
45894;139.4;123.3;17316
45894;144.6;125.1;17316
45894;122.2;107.8;13803
45894;143.3;126.1;17317
45894;115;108.8;13802
45894;138.9;121.8;17319
45894;122.2;104.1;13800
45894;136.5;112;17319
45894;128.6;107.3;13800
45894;143;119.5;17320
45894;118.8;104.4;13799
45894;123.1;105.7;14007
45894;146.7;123.4;17347
45894;152;125.9;17345
45894;136.2;113.1;14304
45894;151.7;134.2;17347
45894;134.9;105.4;14302
