Date;DPM;APM;SR
46017;38.5;15.5;3167
46017;37.3;8;2577
46017;80.4;82.3;10620
46017;58.8;33.2;6004
46017;67.3;28.4;5266
46017;54.9;34.7;5640
46017;62.8;30.9;4704
46017;66.6;36.4;7704
46017;69.5;33.4;6742
46017;57.4;36.7;6668
46017;73.9;40.8;7946
46017;86.3;67.1;11021
46017;95.3;69.1;11093
46017;79.0;56.9;9102
46017;80.9;59.2;7617
46017;37.9;23.3;3167
46017;40.9;15.9;2577
46017;101.2;77.6;11109
46017;92.9;72.2;10681
46017;48.0;36.0;5640
46017;64.2;30.6;4704
46017;62.9;34.6;6171
46017;68.5;32;6811
46017;72.9;42.7;7194
46017;79.8;45.3;7865
46017;65.7;23.1;5404
46017;64.4;24.6;4679
46017;55.8;23.4;5385
46017;55.4;24.8;6033
46017;45.6;14.8;4954
46017;56.5;19.9;5124
46017;58.2;34.4;4954
46017;57.9;31.8;5124
46017;48.4;21.1;3894
46017;37.8;9.5;2590
46017;57.8;18;3857
46017;58.5;13.5;3407
46017;52.4;14.2;3857
46017;31.1;9.1;3126
46017;50.6;15.4;3957
46017;62.8;20.7;4418
46017;56.4;13.5;3957
46017;53.8;26.3;4418
46017;51.5;14;3957
46017;44.2;14.5;3923
46017;48.7;8.4;3197
46017;47.1;18.1;3923
46017;51.6;15.7;3939
46017;51.7;20.2;3798
46017;44.1;14;3251
46017;50.8;17.4;3908
46017;51.1;15.6;3998
46017;30.5;10.9;2938
46017;54.7;26.6;4184
46017;58.0;24.8;4802
46017;49.3;27.1;4655
46017;54.1;22.0;4491
46017;50.0;15.2;4264
46017;75.5;57.4;9621
46017;84.0;65.9;10950
46017;79.8;55.1;10950
46017;76.2;57.4;9621
46017;79.8;55.1;10950
46017;67.5;35.1;5248
46017;53.3;28.0;4288
46017;58.5;11.9;4333
46017;56.8;16.9;4484
46017;84.8;51.3;10922
46017;85.9;45.4;9039
46017;84.0;75.5;10922
46017;80.0;66.5;9039
46017;90.6;57.9;10362
46017;89.7;71.3;10902
46017;85.4;58.7;10362
46017;89.0;66.8;10902
46017;116.2;78.3;11566
46017;88.2;60.9;10975
46017;59.5;39.9;6264
46017;58.3;34.1;6440
46017;77.1;42.3;7857
46017;77.7;50.1;7139
46017;110;75;11566
46017;86.7;62.5;10975
46017;90.7;61.8;10920
46017;80.2;46.2;8736
46017;87.1;61.2;10595
46017;77.8;55;9389
46017;56.5;36;6128
46017;77.4;68.5;10595
46017;73.9;53.8;9389
46017;48.4;20.9;4610
46017;40.8;15.8;3801
46017;58.4;13.6;4720
46017;38.7;5.4;1792
46017;59.1;18.1;4720
46017;37.4;6.8;1792
46017;60;33.4;6309
46017;60;35.1;6482
46017;57.8;23.2;5124
46017;56.6;34.2;6215
46017;56.3;44;6254
46017;76.3;48.2;7906
46017;79.2;44;9825
46017;59.1;30;6266
46017;76.6;42.4;6853
46017;60.3;30.2;4704
46017;60.6;26.6;4709
46017;61.4;22.7;5590
46017;62.0;20.7;4726
46017;90.3;64.7;10558
46017;117.6;88.1;11684
46017;78.7;60.1;10740
46017;81.7;70.2;10793
46017;113.1;73.6;11634
46017;53.3;27;6233
46017;69.5;41.7;6671
46017;59.8;28;5124
