Date;DPM;APM;SR
45676;49;7.7;1944
45676;51.2;15.8;1944
45676;53.9;10.5;1944
45679;32;8.2;1975
45679;29.8;7.9;1998
45679;39.9;5;2121
45679;30.5;6.8;2176
45679;32.1;9.3;2176
45676;37.2;5.6;2437
45676;44.6;13.8;2437
45676;38.1;17.2;2531
45676;46.4;13.9;2531
45679;43.6;14.4;2653
45676;43.1;23.5;2675
45676;53.6;16.6;2675
45676;44.1;16.3;2784
45676;44.8;17.2;2784
45676;45.5;6.2;2784
45676;36;10.7;2802
45676;46.6;16.4;2867
45676;50;5.8;2867
45679;43.1;5.2;2946
45679;43.3;4.4;2979
45679;38.1;11.1;3210
45679;41.5;13.6;3210
45679;41.4;17.8;3271
45679;40.6;13.8;3272
45679;42.2;17.8;3313
45676;40.3;17.5;3353
45676;49.2;10.8;3353
45679;34.7;9.9;3376
45676;40.2;7.8;3387
45676;42.1;8.1;3387
45676;42.7;11;3387
45583;78.7;30.8;3472
45583;76.1;27.7;3510
45583;82.1;22;3510
45679;47.9;11.3;3557
45679;48.8;14.1;3557
45679;47.2;5.5;3573
45679;47.6;8.9;3573
45679;46.9;16.9;3595
45679;45.7;12.2;3605
45679;48.5;14.7;3605
45679;48.3;6.8;3606
45679;44.1;9.8;3607
45679;43.8;11.5;3618
45679;46.5;15.6;3618
45679;50.3;18.4;3618
45679;45.4;16.5;3636
45679;48.9;18.9;3636
45679;46.6;13;3650
45679;46.7;14.5;3803
45679;45.1;18.1;3848
45679;62.5;12.9;3853
45679;48.6;15.9;3872
45676;51.4;21.2;3901
45688;51.3;17.4;4057
45688;49.8;17.9;4098
45688;51;23.3;4321
45688;51.2;24.2;4321
45688;36.5;18;4357
45688;52.4;19.2;4379
45688;58.1;28.8;4379
45688;54.5;28.3;4420
45688;64.2;28.7;4420
45583;50.7;23.6;4445
45583;53.6;19;4445
45688;47.1;27.5;4456
45688;50.1;30.6;4456
45583;52.9;28.3;4470
45688;42.1;18.3;4535
45682;52.4;31.1;4540
45682;60.8;28.4;4695
45682;39.4;15.2;4750
45309;58.8;25.2;4775
45710;98.4;39.6;4864
45710;107.9;27.6;4882
45682;61.3;24.6;4924
45682;57;25.9;4958
45682;63.9;27;4958
45682;63.7;23;4979
45682;66.4;32.2;4979
45682;56.3;31;5500
45682;53;28.6;5534
45684;60.1;29.8;5670
45684;66.1;26;5670
45684;63.5;28.1;5708
45703;59.6;34.6;5769
45682;54.4;26.4;5774
45682;46.2;24.8;5779
45682;57.2;29.3;5784
45646;51;25;5787
45703;59.4;37.8;5830
45309;60.9;37.3;5876
45309;67.7;35.1;5876
45576;62.4;17.2;5880
45576;68.1;32.6;5914
45646;54.7;20.5;5961
45703;55.8;38.7;6133
45703;58.9;38.6;6133
45309;52.6;37.5;6135
45309;53.7;34.8;6166
45309;56.6;32.1;6166
45309;55.8;42.1;6169
45309;58.1;37.4;6190
45703;51.3;27.6;6194
45703;55.6;36.2;6196
45710;59.2;28.9;6196
45710;64.1;43.1;6214
45309;51;34.6;6225
45309;51.3;29.6;6225
45309;53.6;33.3;6225
45302;55;43.2;6241
45309;52.5;43.4;6261
45309;54.1;30.8;6261
45309;54.4;46;6261
45309;75.7;32.4;6267
45309;82;38.8;6322
45576;78.2;47.1;6458
45576;73;31.2;6492
45703;69.5;33.3;6558
45703;69.2;41;6621
45309;60.9;35.2;6725
45309;79.2;38.7;6746
45309;79.5;34.9;6746
45309;86.6;49;6746
45302;83.8;42.3;6850
45520;71.3;32.6;6893
45520;75.4;47.7;6916
45309;59.9;37.8;6917
45520;72.3;26.9;6940
45520;58.8;38.5;7215
45520;67.4;46.9;7215
45520;58.2;58.9;7247
45520;58.8;31.5;7247
45537;59.5;35.3;7432
45512;82.9;42.8;7606
45512;77.7;50.1;7625
45481;84.2;48.2;7633
45481;86.3;47.4;7636
45523;81.8;42.3;7672
45516;75.3;49.8;7747
45516;72.3;40.7;7754
45518;64.7;37;7773
45518;73.9;39.1;7776
45518;76;51.8;7776
45478;53.4;23.1;7807
45548;72.7;49.3;7839
45548;73.6;41.5;7842
45548;77.7;49.8;7842
45548;72;41.8;7845
45520;63.5;36.7;7865
45520;69.9;40.9;7865
45520;76.9;59.5;7897
45520;77.8;46.6;7897
45520;79.8;45.4;7897
45520;67.8;45.5;7921
45520;76.8;48.8;7944
45520;85.4;60.2;7944
45536;68.4;43.3;7960
45537;65.7;17.6;8001
45537;69;49.6;8001
45520;74.5;45.6;8001
45537;75.5;51.6;8001
45533;78.9;58.6;8010
45533;94.2;31.8;8017
45533;84.6;55.7;8045
45512;84.6;53.3;8048
45512;76.8;47.2;8053
45533;84;63.9;8055
45518;76.6;48.2;8079
45309;81.2;48.8;8122
45520;85.3;39.3;8151
45682;83.2;40.9;8182
45682;75;42.9;8187
45537;67.2;35.8;8191
45537;77.9;60.1;8191
45520;78.3;43.4;8208
45481;73.3;52.1;8227
45518;70;35;8229
45481;67.7;42.6;8233
45682;73.8;46.5;8261
45512;90.4;53.2;8272
45537;83.9;41.6;8275
45549;76.4;56.6;8334
45549;78.1;32.2;8339
45547;63.6;44.7;8355
45547;61.2;50;8360
45517;80.9;46;8389
45517;83.2;43.2;8396
45536;85;51.9;8403
45481;69.2;48.2;8410
45481;64.7;38.5;8413
45481;56.4;34.3;8417
45576;62.7;41.8;8438
45543;61.9;43.7;8445
45512;68.3;41.2;8449
45512;73.3;39.4;8449
45517;82.2;50.7;8450
45543;66.4;43.9;8451
45512;85.2;51;8454
45517;82.6;48.8;8467
45478;64.7;39.2;8479
45481;66;40.8;8479
45478;68.1;57.1;8485
45512;65.8;35.8;8488
45512;69.5;49.7;8488
45512;84.6;45.5;8489
45512;65.9;37.5;8507
45512;65.5;47.2;8515
45512;81.7;41.7;8516
45513;71.2;35.6;8551
45481;84.1;46.7;8551
45513;66.1;43.3;8559
45481;81.4;55.1;8560
45605;68.6;45.5;8580
45605;73.3;48.5;8580
45605;73.5;62.5;8580
45605;73.6;49.6;8580
45605;74.2;64.1;8580
45605;75;52.1;8580
45605;76.7;66;8580
45605;80.3;54.7;8580
45518;78.2;48.5;8606
45518;81.2;45.3;8606
45518;76.4;38.9;8633
45518;78.4;47.1;8663
45477;79.4;60;8667
45477;81.4;52.5;8667
45477;85.3;57.4;8667
45560;76.7;45.6;8723
45560;77.5;48.2;8731
45512;84.5;49.7;8750
45496;85.3;53.6;8750
45495;86.4;32;8750
45495;90;46;8750
45471;96.9;52.9;8750
45547;82.8;33.1;8752
45477;90.7;59.4;8757
45477;93.1;39.7;8757
45547;83.2;59.9;8766
45550;67.6;43.9;8771
45512;80.7;45.8;8787
45478;88.4;49.4;8814
45512;77.4;42.7;8834
45512;91.6;42.8;8836
45512;96.5;60.8;8836
45512;93.8;47.7;8855
45512;95;56.1;8855
45512;95.9;52.3;8855
45478;89.3;69.6;8875
45512;89.7;31.8;8894
45512;93.6;49.3;8894
45512;90.8;48.8;8898
45512;90.4;53.2;8931
45512;98.1;49.8;8931
45512;91.3;56.4;8939
45512;91.8;46.5;8939
45512;101.8;63.3;8939
45518;68.3;46.7;8941
45481;81.9;48.5;8941
45518;67.6;49.1;8953
45481;85.5;59.9;8954
45478;78.9;55.4;8964
45512;79.8;32.9;8978
45512;89.8;44.8;8978
45513;73.8;55.4;8979
45513;73.5;47.2;8992
45516;103.4;19.9;8998
45605;76.7;56;9000
45602;82.5;51.8;9000
45547;85.8;51.4;9000
45602;86.4;52.2;9000
45605;86.4;56.3;9000
45547;86.5;51.7;9000
45547;87;51.7;9000
45605;87.1;37.5;9000
45547;87.3;45.1;9000
45605;87.5;50.2;9000
45547;87.8;58.1;9000
45547;89.7;56.6;9000
45602;90.4;48.1;9000
45547;91.6;58.8;9000
45605;92.3;47.2;9000
45547;92.8;55.2;9000
45605;95.5;57.7;9000
45605;95.5;50.2;9000
45547;97.3;58.6;9000
45605;99.1;60;9000
45512;96.5;55.1;9001
45481;54.1;49;9010
45481;90.1;64.4;9014
45516;88.8;51;9023
45481;81.2;52.1;9026
45481;82.7;49.5;9030
45478;75.7;53.5;9066
45481;82.7;48.5;9070
45478;74.3;52.2;9078
45481;87.9;60;9085
45477;81.4;47.8;9098
45477;79.1;52.9;9113
45513;97.3;59.1;9113
45477;79.9;41.4;9130
45477;78.6;47;9145
45512;85;56.3;9148
45512;89.3;54.3;9164
45478;89.6;58.2;9175
45478;80.7;38.7;9177
45478;87.3;44.9;9190
45478;88.4;50.3;9191
45471;77;49.9;9195
45471;85.8;45.6;9195
45512;91.8;60.7;9202
45478;85.9;29.1;9206
45512;89.5;48.2;9219
45477;70.4;49.4;9265
45477;55.3;36;9283
45512;89;45.8;9314
45512;90.7;58.8;9337
45568;76.6;51.7;9352
45568;83.3;49.7;9367
45512;86.9;48.7;9376
45512;87.9;60.2;9376
45512;91.1;44.9;9376
45549;77.3;43.9;9379
45549;84.9;58.3;9396
45560;82.7;65.7;9474
45560;78;51.3;9493
45517;93.6;56.1;9574
45517;89.4;48;9598
45517;93.2;60;9598
45536;72.3;41.7;9685
45481;119.2;18.3;9698
45536;73.6;50.1;9709
45513;76;31.1;9713
45481;80.5;42.1;9727
45547;102.7;62.9;9734
45481;81.3;56.3;9739
45513;78.5;42.1;9741
45478;86;64.4;9751
45547;96.4;62.7;9758
45481;82.9;48.2;9766
45478;82.9;59.9;9775
45478;81.9;32.5;9796
45583;88.3;52.3;9804
45478;91.4;57;9814
45478;93;55.2;9814
45478;89.3;63.9;9818
45478;93;67.8;9818
45478;90.4;54.9;9821
45478;92.1;46.9;9821
