Date;DPM;APM;SR
23/11/2024;112.4;80.7;13146
9/12/2023;57;21.1;4889
9/12/2023;42.3;11.3;2605
9/12/2023;39.6;14.8;1958
9/12/2023;39.4;13.6;1958
9/12/2023;35.3;19.3;3967
9/12/2023;58.5;28.2;4021
18/1/2024;66;27.5;5316
18/1/2024;66.1;25.4;5316
18/1/2024;60.4;25.1;4453
18/1/2024;51.8;21.8;5313
18/1/2024;66.7;22.4;5407
23/1/2025;56;32.9;6141
23/1/2025;62.4;30.4;5575
29/1/2025;59.6;35.4;7082
29/1/2025;65;47.9;7025
29/1/2025;60.4;36.5;7025
29/1/2025;62;30.9;5704
29/1/2025;57.4;26;5686
29/1/2025;61.1;37.2;7021
29/1/2025;50.4;33.7;7067
29/1/2025;51.9;30.1;7067
29/1/2025;52;36.5;7115
29/1/2025;67.8;45;6973
29/1/2025;53.8;35.7;7139
29/1/2025;53.5;35.7;7139
29/1/2025;53.8;35.7;7139
29/1/2025;65.9;34.2;7831
29/1/2025;65.4;43.1;7831
31/1/2025;50.5;25.5;4275
31/1/2025;45.8;15.6;3519
31/1/2025;44.4;12.6;3519
31/1/2025;55.2;24.7;4263
31/1/2025;50.5;22.8;4263
31/1/2025;29.6;13.1;3520
31/1/2025;47.7;13.1;3593
31/1/2025;49.3;25.7;4524
31/1/2025;51.5;23.4;4322
31/1/2025;49.7;26.4;4568
31/1/2025;48.5;21.7;4278
3/2/2025;68.2;34.1;6005
3/2/2025;67.9;27.6;5376
3/2/2025;61.1;35.3;6017
4/2/2025;71.7;47.1;7952
4/2/2025;60.5;40.1;7034
7/2/2025;47.7;25.4;4885
7/2/2025;56.2;35.2;6182
7/2/2025;51.6;30.1;4885
7/2/2025;58.1;37.8;6182
7/2/2025;79.9;31.9;6907
7/2/2025;52.2;32.6;6182
7/2/2025;53.8;34.5;6200
7/2/2025;78.2;29.5;6907
7/2/2025;54.1;28.5;6170
7/2/2025;71.5;30.3;6948
7/2/2025;62.8;34.1;7075
7/2/2025;51.5;35;6241
7/2/2025;53.1;31.4;6368
7/2/2025;54.5;32.2;6214
7/2/2025;79.3;31.1;6869
7/2/2025;49.5;30.8;6169
7/2/2025;80.2;42.8;6869
7/2/2025;53.6;36.5;6169
7/2/2025;75.6;38.4;6899
7/2/2025;52.1;31.8;6139
11/2/2025;51.8;21.8;5313
11/2/2025;66.7;22.4;5407
14/2/2025;51.6;19.9;4159
14/2/2025;36.1;18.3;3395
14/2/2025;41.7;16.4;3366
